Zulassungsnr,Wirkungsbereich,Wirkstoff_Main,Gehalt_Main,Einhalt_Main,Wirkstoff_Compound,Gehalt_Compound,Einhalt_Compound,Organismus_Bakteria,MOA No.
024785-77,Insektizid,Rapsöl,8.25,g/l,"",,"",0,
00A129-00,Insektizid,Cyantraniliprole,625,g/l,"",,"",0,28
00A129-60,Insektizid,Cyantraniliprole,625,g/l,"",,"",0,28
02A280-00,Insektizid,Cydia pomonella Granulovirus Isolat GV-0013 (Isolat V15) 2.500.000.000.000Granula je l,42.75,g/l,"",,"",0,31
006903-00,Insektizid,Cydia pomonella Granulovirus Isolat GV-0006 30.000.000.000.000Granula je l,6.24,g/l,"",,"",0,31
00B297-00,Insektizid,Cydia pomonella Granulovirus Isolat GV-0015 30.000.000.000.000Granula je l,522.96,g/l,"",,"",0,
02A417-00,Insektizid,Cydia pomonella Granulovirus Isolat GV-0013 (Isolat V15) 30.000.000.000.000Granula je l,522.96,g/l,"",,"",0,31
008603-00,Insektizid,Cyantraniliprole,400,g/kg,"",,"",0,28
024218-00,Insektizid,tau-Fluvalinat,240,g/l,"",,"",0,3A
008402-61,Insektizid,Piperonylbutoxid,213,g/l,"",,"",0,
008402-61,Insektizid,Deltamethrin,25,g/l,"",,"",0,3A
00A494-61,Insektizid,Piperonylbutoxid,50.7,g/l,"",,"",0,
00A494-61,Insektizid,Deltamethrin,6,g/l,"",,"",0,3A
006408-60,Insektizid,Pyrethrine,11.45,g/kg,"",,"",0,3A
006423-60,Insektizid,Pyrethrine,11.45,g/kg,"",,"",0,3A
006423-60,Insektizid,Piperonylbutoxid,68.67,g/kg,"",,"",0,
033141-61,Insektizid,Pyrethrine,4,g/l,"",,"",0,3A
006339-61,Insektizid,Deltamethrin,6,g/l,"",,"",0,3A
006331-61,Insektizid,Deltamethrin,25,g/l,"",,"",0,3A
024270-00,Insektizid,Tebufenozid,240,g/l,"",,"",0,18
008589-00,Insektizid,Cyantraniliprole,400,g/kg,"",,"",0,28
005655-00,Insektizid,Acetamiprid,200,g/kg,"",,"",0,4A
024436-64,Insektizid,Azadirachtin,10.6,g/l,"",,"",0,UN
008520-00,Insektizid,Cyflumetofen,200,g/l,"",,"",0,25A
024436-68,Insektizid,Azadirachtin,10.6,g/l,"",,"",0,UN
008911-00,Insektizid,Pyrethrine,4.2,g/l,"",,"",0,3A
008911-00,Insektizid,Azadirachtin,4.1,g/l,"",,"",0,UN
024436-00,Insektizid,Azadirachtin,10.6,g/l,"",,"",0,UN
