Zulassungsnr,Wirkungsbereich,Wirkstoff_Main,Gehalt_Main,Einhalt_Main,Wirkstoff_Compound,Gehalt_Compound,Einhalt_Compound,Organismus_Bakteria,FRAC.Group.Code,MOA,Comments
008125-00,Fungizid,Fludioxonil,25,g/l,"",,"",0,12,Signal transduction,"Resistance found sporadically, mechanism speculative. Low to medium risk. Resistance management required."
008377-00,Fungizid,Difenoconazol,250,g/l,"",,"",0,3,Sterol biosynthesis in membranes,"There are big differences in the activity spectra of DMI fungicides. Resistance is known in various fungal species. Several resistance mechanisms are known incl. target site mutations in cyp51 (erg 11) gene, e.g. V136A, Y137F, A379G, I381V; cyp51 promotor; ABC transporters and others. Generally wise to accept that cross-resistance is present between DMI fungicides active against the same fungus. DMI fungicides are Sterol Biosynthesis Inhibitors (SBIs), but show no cross resistance to other SBI classes. Medium risk. See FRAC SBI Guidelines for resistance management."
008498-00,Fungizid,Folpet,400,g/l,"",,"",0,M04,Chemicals with multi-site activity,Generally considered as a low risk group without any signs of resistance developing to the fungicides
008498-00,Fungizid,Difenoconazol,10.7,g/l,"",,"",0,3,Sterol biosynthesis in membranes,"There are big differences in the activity spectra of DMI fungicides. Resistance is known in various fungal species. Several resistance mechanisms are known incl. target site mutations in cyp51 (erg 11) gene, e.g. V136A, Y137F, A379G, I381V; cyp51 promotor; ABC transporters and others. Generally wise to accept that cross-resistance is present between DMI fungicides active against the same fungus. DMI fungicides are Sterol Biosynthesis Inhibitors (SBIs), but show no cross resistance to other SBI classes. Medium risk. See FRAC SBI Guidelines for resistance management."
007475-60,Fungizid,Pyriofenone,180,g/l,"",,"",0,47,Cytoskeleton and motor proteins,Resistance known in Fusarium graminearum. Target site mutations in the gene coding for myosin-5 found in lab studies. Medium to high risk. Resistance management required.
00B092-00,Fungizid,Dithianon,700,g/kg,"",,"",0,M09,Chemicals with multi-site activity,Generally considered as a low risk group without any signs of resistance developing to the fungicides
00A841-00,Fungizid,Dithianon,700,g/kg,"",,"",0,M09,Chemicals with multi-site activity,Generally considered as a low risk group without any signs of resistance developing to the fungicides
00A317-00,Fungizid,Difenoconazol,250,g/l,"",,"",0,3,Sterol biosynthesis in membranes,"There are big differences in the activity spectra of DMI fungicides. Resistance is known in various fungal species. Several resistance mechanisms are known incl. target site mutations in cyp51 (erg 11) gene, e.g. V136A, Y137F, A379G, I381V; cyp51 promotor; ABC transporters and others. Generally wise to accept that cross-resistance is present between DMI fungicides active against the same fungus. DMI fungicides are Sterol Biosynthesis Inhibitors (SBIs), but show no cross resistance to other SBI classes. Medium risk. See FRAC SBI Guidelines for resistance management."
007454-61,Fungizid,Tebuconazol,107,g/l,"",,"",0,3,Sterol biosynthesis in membranes,"There are big differences in the activity spectra of DMI fungicides. Resistance is known in various fungal species. Several resistance mechanisms are known incl. target site mutations in cyp51 (erg 11) gene, e.g. V136A, Y137F, A379G, I381V; cyp51 promotor; ABC transporters and others. Generally wise to accept that cross-resistance is present between DMI fungicides active against the same fungus. DMI fungicides are Sterol Biosynthesis Inhibitors (SBIs), but show no cross resistance to other SBI classes. Medium risk. See FRAC SBI Guidelines for resistance management."
007454-61,Fungizid,Bromuconazol,167,g/l,"",,"",0,3,Sterol biosynthesis in membranes,"There are big differences in the activity spectra of DMI fungicides. Resistance is known in various fungal species. Several resistance mechanisms are known incl. target site mutations in cyp51 (erg 11) gene, e.g. V136A, Y137F, A379G, I381V; cyp51 promotor; ABC transporters and others. Generally wise to accept that cross-resistance is present between DMI fungicides active against the same fungus. DMI fungicides are Sterol Biosynthesis Inhibitors (SBIs), but show no cross resistance to other SBI classes. Medium risk. See FRAC SBI Guidelines for resistance management."
00A758-00,Fungizid,Dodin,400,g/l,"",,"",0,U12,Unknown mode of action,Resistance known in Venturia inaequalis. Low to medium risk. Resistance management recommended.
00B187-60,Fungizid,Folpet,500,g/l,"",,"",0,M04,Chemicals with multi-site activity,Generally considered as a low risk group without any signs of resistance developing to the fungicides
004329-00,Fungizid,Tetraconazole,100,g/l,"",,"",0,3,Sterol biosynthesis in membranes,"There are big differences in the activity spectra of DMI fungicides. Resistance is known in various fungal species. Several resistance mechanisms are known incl. target site mutations in cyp51 (erg 11) gene, e.g. V136A, Y137F, A379G, I381V; cyp51 promotor; ABC transporters and others. Generally wise to accept that cross-resistance is present between DMI fungicides active against the same fungus. DMI fungicides are Sterol Biosynthesis Inhibitors (SBIs), but show no cross resistance to other SBI classes. Medium risk. See FRAC SBI Guidelines for resistance management."
008837-61,Fungizid,Kaliumphosphonat (Kaliumphosphit),726,g/l,"",,"",0,,,
006300-61,Fungizid,Difenoconazol,16.7,g/l,"",,"",0,3,Sterol biosynthesis in membranes,"There are big differences in the activity spectra of DMI fungicides. Resistance is known in various fungal species. Several resistance mechanisms are known incl. target site mutations in cyp51 (erg 11) gene, e.g. V136A, Y137F, A379G, I381V; cyp51 promotor; ABC transporters and others. Generally wise to accept that cross-resistance is present between DMI fungicides active against the same fungus. DMI fungicides are Sterol Biosynthesis Inhibitors (SBIs), but show no cross resistance to other SBI classes. Medium risk. See FRAC SBI Guidelines for resistance management."
006299-00,Fungizid,Difenoconazol,0.167,g/l,"",,"",0,3,Sterol biosynthesis in membranes,"There are big differences in the activity spectra of DMI fungicides. Resistance is known in various fungal species. Several resistance mechanisms are known incl. target site mutations in cyp51 (erg 11) gene, e.g. V136A, Y137F, A379G, I381V; cyp51 promotor; ABC transporters and others. Generally wise to accept that cross-resistance is present between DMI fungicides active against the same fungus. DMI fungicides are Sterol Biosynthesis Inhibitors (SBIs), but show no cross resistance to other SBI classes. Medium risk. See FRAC SBI Guidelines for resistance management."
