Zulassungsnr,Wirkungsbereich,Wirkstoff_Main,Gehalt_Main,Einhalt_Main,Wirkstoff_Compound,Gehalt_Compound,Einhalt_Compound,Organismus_Bakteria
034560-73,Fungizid,Azoxystrobin,250,g/l,,,,0
024646-67,Herbizid,Pelargonsäure,31.02,g/l,Grundkörper,34.4,g/l,0
006396-00,Herbizid,MCPA,200,g/l,,,,0
006396-00,Herbizid,Clopyralid,20,g/l,,,,0
006396-00,Herbizid,Fluroxypyr,40,g/l,1-Methyl-heptylester,57.64,g/l,0
00A960-00,Herbizid,Aclonifen,600,g/l,,,,0
00A960-00,Herbizid,Diflufenican,30,g/l,,,,0
00B133-60,Fungizid,Azoxystrobin,140,g/l,,,,0
00B133-60,Fungizid,Prothioconazol,100,g/l,,,,0
00A657-60,Fungizid,Prothioconazol,250,g/l,,,,0
00A326-00,Fungizid,Boscalid,500,g/kg,,,,0
007997-00,Wachstumsregler,Paclobutrazol,4,g/l,,,,0
026763-00,Herbizid,Glyphosat,360,g/l,Isopropylamin-Salz,485.8,g/l,0
028110-00,Herbizid,Mesotrione,100,g/l,,,,0
00A479-00,Fungizid,Boscalid,500,g/kg,,,,0
007417-00,Fungizid,Aureobasidium pullulans DSM 14940 2.500.000.000.000cfu/kg,500,g/kg,,,,1
007417-00,Fungizid,Aureobasidium pullulans DSM 14941 2.500.000.000.000cfu/kg,500,g/kg,,,,1
00A219-00,Herbizid,Pyridat,300,g/l,,,,0
00A219-00,Herbizid,Mesotrione,90,g/l,,,,0
037382-00,Herbizid,Metsulfuron,240.8,g/kg,Methylester,250,g/kg,0
037382-00,Herbizid,Tribenuron,241.15,g/kg,Methylester,250,g/kg,0
033838-00,Herbizid,Prosulfocarb,800,g/l,,,,0
00A952-60,Herbizid,Diflufenican,14,g/l,,,,0
00A952-60,Herbizid,Prosulfocarb,667,g/l,,,,0
00A985-00,Herbizid,Mesotrione,100,g/l,,,,0
00A364-00,Herbizid,Napropamid,500,g/l,,,,0
00A364-00,Herbizid,Quinmerac,100,g/l,,,,0
007972-00,Wachstumsregler,Metamitron,150,g/kg,,,,0
035312-60,Herbizid,Flumioxazin,500,g/kg,,,,0
060122-67,Herbizid,"2,4-D",8,g/kg,,,,0
060122-67,Herbizid,Dicamba,1.2,g/kg,,,,0
00A343-00,Fungizid,Difenoconazol,50,g/l,,,,0
00A343-00,Fungizid,Fluxapyroxad,75,g/l,,,,0
00A640-00,Herbizid,Clethodim,180,g/l,,,,0
026233-00,Herbizid,Florasulam,22.8,g/kg,,,,0
026233-00,Herbizid,Pyroxsulam,68.3,g/kg,,,,0
00A261-00,Herbizid,Cloquintocet,212.5,g/kg,,,,0
00A261-00,Herbizid,Florasulam,80,g/kg,,,,0
00A261-00,Herbizid,Pyroxsulam,240,g/kg,,,,0
00A261-00,Herbizid,Halauxifen-methyl,83.4,g/kg,,,,0
00A773-00,Herbizid,Diflufenican,500,g/l,,,,0
00B085-00,Wachstumsregler,Trinexapac,222.2,g/l,Ethylester,250,g/l,0
024436-75,Insektizid,Azadirachtin,10.6,g/l,,,,0
024436-81,Insektizid,Azadirachtin,10.6,g/l,,,,0
008792-00,Herbizid,Clodinafop,89.11,g/l,Propargyl 2-Propinylester,100,g/l,0
008792-00,Herbizid,Cloquintocet,17.69,g/l,Mexyl 1-Methyl-hexylester,25,g/l,0
006387-61,Insektizid,lambda-Cyhalothrin,50,g/kg,,,,0
043401-00,Herbizid,Metazachlor,500,g/l,,,,0
006790-00,Herbizid,Metazachlor,200,g/l,,,,0
006790-00,Herbizid,Quinmerac,100,g/l,,,,0
006790-00,Herbizid,Dimethenamid-P,200,g/l,,,,0
006288-00,Herbizid,Metazachlor,200,g/l,,,,0
