Zulassungsnr,Wirkungsbereich,Wirkstoff_Main,Gehalt_Main,Einhalt_Main,Wirkstoff_Compound,Gehalt_Compound,Einhalt_Compound,Organismus_Bakteria,HRAC
008330-60,Herbizid,Aminopyralid,30,g/l,Kalium-Salz,35.5,g/l,0,4
028865-60,Herbizid,Clopyralid,100,g/l,Monoethanolamin-Salz,131.4,g/l,0,4
044044-00,Herbizid,Glyphosat,360,g/l,Isopropylamin-Salz,485.39,g/l,0,9
00A475-61,Herbizid,Prosulfocarb,800,g/l,"",,"",0,15
008181-00,Herbizid,Quinmerac,167,g/l,"",,"",0,4
008181-00,Herbizid,Dimethenamid-P,333,g/l,"",,"",0,15
00A940-00,Herbizid,Fluroxypyr,200,g/l,1-Methyl-heptylester,288,g/l,0,4
00A590-60,Herbizid,Fluroxypyr,200,g/l,1-Methyl-heptylester,288.078,g/l,0,4
00A554-61,Herbizid,Fluroxypyr,200,g/l,1-Methyl-heptylester,288,g/l,0,4
007667-00,Herbizid,Quizalofop-P,92.5,g/l,Ethylester,100,g/l,0,1
034060-00,Herbizid,Quizalofop-P,46.3,g/l,Ethylester,50,g/l,0,1
00A637-00,Herbizid,Metamitron,700,g/l,"",,"",0,5
034457-00,Herbizid,Dicamba,609,g/kg,Natrium-Salz,670,g/kg,0,4
034457-00,Herbizid,Rimsulfuron,32.5,g/kg,"",,"",0,2
008028-00,Herbizid,Nicosulfuron,750,g/kg,"",,"",0,2
028124-00,Herbizid,Mesotrione,100,g/l,"",,"",0,27
00B091-00,Herbizid,Fluroxypyr,200,g/l,1-Methyl-heptylester,288,g/l,0,4
028866-60,Herbizid,Tribenuron,241.15,g/kg,Methylester,250,g/kg,0,2
028866-60,Herbizid,Florasulam,104,g/kg,"",,"",0,2
060122-57,Herbizid,"2,4-D",8,g/kg,"",,"",0,4
060122-57,Herbizid,Dicamba,1.2,g/kg,"",,"",0,4
060122-98,Herbizid,"2,4-D",8,g/kg,"",,"",0,4
060122-98,Herbizid,Dicamba,1.2,g/kg,"",,"",0,4
034273-00,Herbizid,Rimsulfuron,250,g/kg,"",,"",0,2
024091-00,Herbizid,Chlortoluron,700,g/l,"",,"",0,
007819-00,Herbizid,Fluroxypyr,100,g/l,1-Methyl-heptylester,144,g/l,0,4
007819-00,Herbizid,Florasulam,2.5,g/l,"",,"",0,2
007138-00,Herbizid,Fluroxypyr,200,g/l,1-Methyl-heptylester,288,g/l,0,4
006275-63,Herbizid,Eisen-II-sulfat,238,g/kg,Monohydrat,266,g/kg,0,
027821-64,Herbizid,"2,4-D",3.3,g/kg,Dimethylamin-Salz,3.97,g/kg,0,4
027821-64,Herbizid,Dicamba,1.6,g/kg,Dimethylamin-Salz,1.93,g/kg,0,4
008984-00,Herbizid,Napropamid,206,g/l,"",,"",0,
008984-00,Herbizid,Metazachlor,214,g/l,"",,"",0,15
008984-00,Herbizid,Quinmerac,71,g/l,"",,"",0,4
028873-00,Herbizid,Tribenuron,723.4,g/kg,Methylester,750,g/kg,0,2
00B158-00,Herbizid,Tribenuron,723.26,g/kg,Methylester,750,g/kg,0,2
00A590-00,Herbizid,Fluroxypyr,200,g/l,1-Methyl-heptylester,288.078,g/l,0,4
025079-00,Herbizid,Glyphosat,360,g/l,Ammonium-Salz,435,g/l,0,9
028747-00,Herbizid,Tribenuron,723.44,g/kg,Methylester,750,g/kg,0,2
008747-00,Herbizid,Tribenuron,723.445,g/kg,Methylester,750,g/kg,0,2
00A162-00,Herbizid,Ethofumesat,500,g/l,"",,"",0,
026557-00,Herbizid,Clodinafop,22.3,g/l,Propargyl 2-Propinylester,25,g/l,0,
026557-00,Herbizid,Cloquintocet,4.42,g/l,Mexyl 1-Methyl-hexylester,6.25,g/l,0,
026557-00,Herbizid,Pinoxaden,25,g/l,"",,"",0,1
008627-00,Herbizid,Quizalofop-P-ethyl,50,g/l,"",,"",0,
028573-00,Herbizid,Tribenuron,723.4,g/kg,Methylester,750,g/kg,0,2
006427-00,Herbizid,Tribenuron,723.4,g/kg,Methylester,750,g/kg,0,2
026427-00,Herbizid,Tribenuron,723.4,g/kg,Methylester,750,g/kg,0,2
006427-62,Herbizid,Tribenuron,723.4,g/kg,Methylester,750,g/kg,0,2
026427-62,Herbizid,Tribenuron,723.4,g/kg,Methylester,750,g/kg,0,2
00A104-00,Herbizid,Metazachlor,333,g/l,"",,"",0,15
00A104-00,Herbizid,Clomazone,44,g/l,"",,"",0,13
00A104-00,Herbizid,Quinmerac,111,g/l,"",,"",0,4
008071-00,Herbizid,Tribenuron,482.3,g/kg,Methylester,500,g/kg,0,2
006797-00,Herbizid,Chlortoluron,250,g/l,"",,"",0,
006797-00,Herbizid,Pendimethalin,300,g/l,"",,"",0,3
006797-00,Herbizid,Diflufenican,40,g/l,"",,"",0,12
024847-61,Herbizid,Fluazifop-P,107,g/l,Butylester,125,g/l,0,1
044622-61,Herbizid,Florasulam,50,g/l,"",,"",0,2
026404-60,Herbizid,Glyphosat,490,g/l,"",,"",0,9
008401-00,Herbizid,Florasulam,50,g/l,"",,"",0,2
024645-71,Herbizid,Pelargonsäure,186.7,g/l,Ammonium-Salz,206.8,g/l,0,
006796-60,Herbizid,Fettsäuren (C7 - C20),29.7,g/l,Caprylsäure/Caprinsäure,29.7,g/l,0,
005747-70,Herbizid,"2,4-D",70,g/l,Dimethylamin-Salz,84.3,g/l,0,4
005747-70,Herbizid,MCPA,70,g/l,Dimethylamin-Salz,85.7,g/l,0,4
005747-70,Herbizid,Dicamba,20,g/l,Dimethylamin-Salz,24.1,g/l,0,4
005747-70,Herbizid,Mecoprop-P,42,g/l,Dimethylamin-Salz,50.8,g/l,0,4
060122-69,Herbizid,"2,4-D",8,g/kg,"",,"",0,4
060122-69,Herbizid,Dicamba,1.2,g/kg,"",,"",0,4
034066-00,Herbizid,"2,4-D",500,g/l,Dimethylamin-Salz,602,g/l,0,4
060939-00,Herbizid,MCPA,500,g/l,Dimethylamin-Salz,612.35,g/l,0,4
00A606-00,Herbizid,Clopyralid,80,g/l,"",,"",0,4
00A606-00,Herbizid,Fluroxypyr,100,g/l,1-Methyl-heptylester,144,g/l,0,4
00A606-00,Herbizid,Florasulam,2.5,g/l,"",,"",0,2
00A106-00,Herbizid,Pelargonsäure,43.06,g/l,"",,"",0,
00A107-00,Herbizid,Pelargonsäure,565.5,g/l,"",,"",0,
024645-67,Herbizid,Pelargonsäure,186.7,g/l,Ammonium-Salz,206.8,g/l,0,
006796-61,Herbizid,Fettsäuren (C7 - C20),29.7,g/l,Caprylsäure/Caprinsäure,29.7,g/l,0,
00A106-61,Herbizid,Pelargonsäure,43.06,g/l,"",,"",0,
00A107-61,Herbizid,Pelargonsäure,565.5,g/l,"",,"",0,
024645-69,Herbizid,Pelargonsäure,186.7,g/l,Ammonium-Salz,206.8,g/l,0,
060122-56,Herbizid,"2,4-D",8,g/kg,"",,"",0,4
060122-56,Herbizid,Dicamba,1.2,g/kg,"",,"",0,4
00A846-60,Herbizid,Essigsäure,60,g/l,"",,"",0,
024645-72,Herbizid,Pelargonsäure,186.7,g/l,Ammonium-Salz,206.8,g/l,0,
060122-61,Herbizid,"2,4-D",8,g/kg,"",,"",0,4
060122-61,Herbizid,Dicamba,1.2,g/kg,"",,"",0,4
060122-86,Herbizid,"2,4-D",8,g/kg,"",,"",0,4
060122-86,Herbizid,Dicamba,1.2,g/kg,"",,"",0,4
00A846-00,Herbizid,Essigsäure,60,g/l,"",,"",0,
024091-61,Herbizid,Chlortoluron,700,g/l,"",,"",0,
026402-00,Herbizid,Ethofumesat,500,g/l,"",,"",0,
008532-61,Herbizid,Clomazone,360,g/l,"",,"",0,13
007777-63,Herbizid,Clomazone,360,g/l,"",,"",0,13
008810-00,Herbizid,Florasulam,50,g/l,"",,"",0,2
007339-00,Herbizid,Diflufenican,360,g/kg,"",,"",0,12
007339-00,Herbizid,Iodosulfuron,9.32,g/kg,Methylester-Na,10,g/kg,0,2
007201-00,Herbizid,Diflufenican,360,g/kg,"",,"",0,12
007201-00,Herbizid,Iodosulfuron,9.32,g/kg,Methylester-Na,10,g/kg,0,2
034837-62,Herbizid,Flazasulfuron,250,g/kg,"",,"",0,2
00A191-00,Herbizid,Fluroxypyr,100,g/l,1-Methyl-heptylester,144,g/l,0,4
00A191-00,Herbizid,Florasulam,2,g/l,"",,"",0,2
008797-60,Herbizid,Clethodim,240,g/l,"",,"",0,1
007725-00,Herbizid,Lenacil,500,g/l,"",,"",0,5
008797-00,Herbizid,Clethodim,240,g/l,"",,"",0,1
008652-00,Herbizid,Metamitron,700,g/l,"",,"",0,5
008652-61,Herbizid,Metamitron,700,g/l,"",,"",0,5
006723-00,Herbizid,Nicosulfuron,40,g/l,"",,"",0,2
006875-00,Herbizid,Nicosulfuron,40,g/l,"",,"",0,2
027510-00,Herbizid,Diflufenican,100,g/l,"",,"",0,12
027510-00,Herbizid,Florasulam,3.75,g/l,"",,"",0,2
027510-00,Herbizid,Penoxsulam,15,g/l,"",,"",0,2
006988-00,Herbizid,Clopyralid,100,g/l,"",,"",0,4
025079-63,Herbizid,Glyphosat,360,g/l,Ammonium-Salz,435,g/l,0,9
007507-62,Herbizid,Pelargonsäure,237.59,g/l,"",,"",0,
007508-61,Herbizid,Pelargonsäure,30.99,g/l,"",,"",0,
00A679-60,Herbizid,Pelargonsäure,580.24,g/l,"",,"",0,
00B135-00,Herbizid,Ethofumesat,500,g/l,"",,"",0,
008652-60,Herbizid,Metamitron,700,g/l,"",,"",0,5
00A963-00,Herbizid,Aclonifen,540,g/l,"",,"",0,32
00A963-00,Herbizid,Flufenacet,60,g/l,"",,"",0,15
00A549-00,Herbizid,Fluroxypyr,200,g/l,1-Methyl-heptylester,288,g/l,0,4
008529-65,Herbizid,Pelargonsäure,500,g/l,"",,"",0,
006240-00,Herbizid,MCPA,53.74,g/l,Kalium-Salz,68.4,g/l,0,4
006240-00,Herbizid,Clopyralid,5.38,g/l,Monoethanolamin-Salz,7.08,g/l,0,4
006240-00,Herbizid,Fluroxypyr,10.76,g/l,1-Methyl-heptylester,15.5,g/l,0,4
006239-00,Herbizid,MCPA,1.6,g/l,Kalium-Salz,1.905,g/l,0,4
006239-00,Herbizid,Clopyralid,0.16,g/l,Monoethanolamin-Salz,0.211,g/l,0,4
006239-00,Herbizid,Fluroxypyr,0.32,g/l,1-Methyl-heptylester,0.46,g/l,0,4
00A174-00,Herbizid,Quizalofop-P-ethyl,120,g/l,"",,"",0,
008047-70,Herbizid,Eisen-II-sulfat,163,g/kg,Monohydrat,182,g/kg,0,
060122-63,Herbizid,"2,4-D",8,g/kg,"",,"",0,4
060122-63,Herbizid,Dicamba,1.2,g/kg,"",,"",0,4
00A220-00,Herbizid,Ethofumesat,417,g/l,"",,"",0,
00B183-60,Herbizid,Glyphosat,540,g/l,IPA/K-Salz,698.5,g/l,0,9
007777-62,Herbizid,Clomazone,360,g/l,"",,"",0,13
00A559-00,Herbizid,Mefenpyr,86.6,g/kg,Diethylester,90,g/kg,0,
00A559-00,Herbizid,Iodosulfuron,5.6,g/kg,Methylester-Na,6,g/kg,0,2
00A559-00,Herbizid,Mesosulfuron,29.2,g/kg,Methylester,30,g/kg,0,2
034107-60,Herbizid,Propaquizafop,100,g/l,"",,"",0,1
00A197-60,Herbizid,Isoxadifen,108.1,g/l,Ethylester,134,g/l,0,
00A197-60,Herbizid,Tembotrione,345,g/l,"",,"",0,27
00A197-60,Herbizid,Thiencarbazone,65.55,g/l,Methylester,68,g/l,0,2
008295-00,Herbizid,Cloquintocet,3.95,g/l,Mexyl 1-Methyl-hexylester,5.58,g/l,0,
008295-00,Herbizid,Florasulam,5,g/l,"",,"",0,2
008295-00,Herbizid,Halauxifen-methyl,6.25,g/l,"",,"",0,4
024645-63,Herbizid,Pelargonsäure,186.7,g/l,Ammonium-Salz,206.8,g/l,0,
008468-60,Herbizid,"2,4-D",2.14,g/kg,"",,"",0,4
008468-60,Herbizid,Dicamba,0.86,g/kg,"",,"",0,4
008468-60,Herbizid,Eisen-II-sulfat,182,g/kg,"",,"",0,
008468-60,Herbizid,Fluroxypyr,0.57,g/kg,1-Methyl-heptylester,0.82,g/kg,0,4
