Zulassungsnr,Wirkungsbereich,Wirkstoff_Main,Gehalt_Main,Einhalt_Main,Wirkstoff_Compound,Gehalt_Compound,Einhalt_Compound,Organismus_Bakteria,HRAC
00A640-00,Herbizid,Clethodim,180,g/l,"",,"",0,1
026233-00,Herbizid,Florasulam,22.8,g/kg,"",,"",0,2
026233-00,Herbizid,Pyroxsulam,68.3,g/kg,"",,"",0,2
00A261-00,Herbizid,Cloquintocet,212.5,g/kg,"",,"",0,
00A261-00,Herbizid,Florasulam,80,g/kg,"",,"",0,2
00A261-00,Herbizid,Pyroxsulam,240,g/kg,"",,"",0,2
00A261-00,Herbizid,Halauxifen-methyl,83.4,g/kg,"",,"",0,4
00A773-00,Herbizid,Diflufenican,500,g/l,"",,"",0,12
008792-00,Herbizid,Clodinafop,89.11,g/l,Propargyl 2-Propinylester,100,g/l,0,
008792-00,Herbizid,Cloquintocet,17.69,g/l,Mexyl 1-Methyl-hexylester,25,g/l,0,
043401-00,Herbizid,Metazachlor,500,g/l,"",,"",0,15
006790-00,Herbizid,Metazachlor,200,g/l,"",,"",0,15
006790-00,Herbizid,Quinmerac,100,g/l,"",,"",0,4
006790-00,Herbizid,Dimethenamid-P,200,g/l,"",,"",0,15
006288-00,Herbizid,Metazachlor,200,g/l,"",,"",0,15
006288-00,Herbizid,Dimethenamid-P,200,g/l,"",,"",0,15
024365-00,Herbizid,Metazachlor,375,g/l,"",,"",0,15
024365-00,Herbizid,Quinmerac,125,g/l,"",,"",0,4
00B406-00,Herbizid,Florasulam,16.7,g/l,"",,"",0,2
00B406-00,Herbizid,Mesotrione,267,g/l,"",,"",0,27
035692-00,Herbizid,Terbuthylazin,330,g/l,"",,"",0,5
035692-00,Herbizid,Mesotrione,70,g/l,"",,"",0,27
044660-00,Herbizid,Mesotrione,100,g/l,"",,"",0,27
044660-64,Herbizid,Mesotrione,100,g/l,"",,"",0,27
005890-61,Herbizid,Tribenuron,482.3,g/kg,Methylester,500,g/kg,0,2
008357-63,Herbizid,Mesotrione,100,g/l,"",,"",0,27
00A197-00,Herbizid,Isoxadifen,108.1,g/l,Ethylester,134,g/l,0,
00A197-00,Herbizid,Tembotrione,345,g/l,"",,"",0,27
00A197-00,Herbizid,Thiencarbazone,65.55,g/l,Methylester,68,g/l,0,2
006284-00,Herbizid,Chlortoluron,600,g/l,"",,"",0,
006284-00,Herbizid,Diflufenican,40,g/l,"",,"",0,12
006986-00,Herbizid,Dicamba,500,g/kg,Natrium-Salz,550,g/kg,0,4
006986-00,Herbizid,Prosulfuron,50,g/kg,"",,"",0,2
034078-00,Herbizid,Rimsulfuron,250,g/kg,"",,"",0,2
024345-00,Herbizid,Essigsäure,102,g/l,"",,"",0,
006240-60,Herbizid,MCPA,53.74,g/l,Kalium-Salz,68.4,g/l,0,4
006240-60,Herbizid,Clopyralid,5.38,g/l,Monoethanolamin-Salz,7.08,g/l,0,4
006240-60,Herbizid,Fluroxypyr,10.76,g/l,1-Methyl-heptylester,15.5,g/l,0,4
006239-60,Herbizid,MCPA,1.6,g/l,Kalium-Salz,1.905,g/l,0,4
006239-60,Herbizid,Clopyralid,0.16,g/l,Monoethanolamin-Salz,0.211,g/l,0,4
006239-60,Herbizid,Fluroxypyr,0.32,g/l,1-Methyl-heptylester,0.46,g/l,0,4
005747-61,Herbizid,"2,4-D",70,g/l,Dimethylamin-Salz,84.3,g/l,0,4
005747-61,Herbizid,MCPA,70,g/l,Dimethylamin-Salz,85.7,g/l,0,4
005747-61,Herbizid,Dicamba,20,g/l,Dimethylamin-Salz,24.1,g/l,0,4
005747-61,Herbizid,Mecoprop-P,42,g/l,Dimethylamin-Salz,50.8,g/l,0,4
024798-00,Herbizid,Clomazone,360,g/l,"",,"",0,13
024366-60,Herbizid,Clethodim,240,g/l,"",,"",0,1
00A402-00,Herbizid,Picloram,67,g/l,"",,"",0,4
00A402-00,Herbizid,Clopyralid,267,g/l,"",,"",0,4
00A472-00,Herbizid,Aclonifen,600,g/l,"",,"",0,32
006858-60,Herbizid,Metsulfuron,65.5,g/kg,Methylester,68,g/kg,0,2
