substance,crop,CAS,CLP,BCF,SCI.Grow,SoilDT50,Birds.Acute.LD50.mg.kg,Mammals.Acute.Oral.LD50.mg.kg.BW.day,Earthworms.Acute.14d.LC50.mg.kg,Earthworms.Chronic.14d.NOEC..Reproduction.mg.kg.corrected,BeesLD50,Fish.Acute.96hr.LC50.mg.l,Fish.Chronic.21d.NOEC.mg.l.corrected,Aquatic.Invertebrates.Acute.48hr.EC50.mg.l,Aquatic.Invertebrates.Chronic.21d.NOEC.mg.l.correted,Aquatic.Plants.Acute.7d.EC50.mg.l,Algae.Acute.72hr.EC50.Growth.mg.l,water.phase.DT50.days
Fenhexamid,Strawberries; Grapes; Kiwi fruit; Ornamentals,126833-17-8,Environment: H411,185,5.09 X 10 e-05,0.43,> 804.4,> 5000,> 500,> 9.9,207,1.34,0.101,> 18.8,> 1.01,> 1.0,> 26.1,4.92
Fenoxaprop-P,Turf; Ornamentals; Rice,113158-40-0,"Health: H317. H373Environment: H400, H410",-,1.44 X 10 e-02,5.0,-,> 1000,1000,100,> 100,> 68.8,3.2,126,1.0,> 100,69.9,10
Fenpicoxamid,"Spring and winter cereals including soft wheat, durum wheat, rye and tritical; Rice; Bananas",517875-34-2,"Environment: H400, H410",18.36,5.35 X 10 e-03,3.5,> 2000,> 2000,-,9.93,> 202.4,0.0022,0.00037,0.00093,-,-,> 0.522,0.26
Fenpropidin,Cereals including wheat and barley,67306-00-7,"Health: H302, H317, H318, H332, H335, H373Environment: H400, H410",163,5.35 X 10 e-03,90,1899,1452,> 500,10,46.0,1.93,0.32,0.54,0.54,0.079,0.0057,1.8
Fenpyroximate,"Fruit including citrus, apples, pears, peaches, grapes, strawberries, currants; Tree nuts; Ornamentals; Sugarbeet",134098-61-6,"Health: H301, H330, H317Environment: H400, H410",1601,5.73 X 10 e-03,135.1,> 2000,245,34.7,2.71,> 15.8,0.00105,0.00019,0.00328,0.00016,-,0.0094,2.91
Ferric phosphate,Food and non-food crops,10045-86-0,"Health: H315, H319, H335Environment: H412",20,Cannot be calculated,5,> 2000,> 5000,> 10,6.7,> 100,> 17.0,> 19,> 100,> 100,-,> 100,-
Ferric pyrophosphate,All edible and ornamental crops,10058-44-3,Health: H319,-,Cannot be calculated,-,> 2000,> 2000,> 1000,> 1000,> 100,> 134,-,> 0.092,-,-,> 0.0212,-
Flazasulfuron,Turf; Citrus; Grapes; Olives; Sugarcane; Non-cropped areas,104040-78-0,"Environment: H400, H410",Low risk,2.32 X 10 e-02,41.2,> 2000,> 5000,> 15.75,8.0,> 100,22,5,> 25,6.25,0.00004,0.014,15
Flonicamid,"Fruit including apples, pears, peaches, plums, melons, cherries; Cereals including wheat, barley, oats, rye, triticale; Potatoes; Cucumbers; Tomatoes; Aubergine; Various vegetables",158062-67-0,Health: H302,Low risk,3.40 X 10 e-03,0.93,1591,884,> 1000,250,> 100,> 100,10,> 100,3.1,> 119,> 100,27.9
Florasulam,Wheat; Barley; Oats; Rye; Triticale,145701-23-1,"Environment: H400, H410",1.5,3.72 X 10 e-02,1.85,1046,5000,> 1320,0.203,> 100,> 100,> 119,> 292,38.9,0.001,0.00894,18
Florpyrauxifen-benzyl,Rice,1390661-72-9,Health: H317Environment: H410,326,5.35 X 10 e-03,150,> 2250,> 5000,-,67.5,> 100,> 0.049,-,> 0.0626,0.0378,> 0.0461,> 0.0337,3.3
Fluazifop-P,Soybeans; Carrots; Spinach; Potatoes; Ornamentals,83066-88-0,"Health: H361dEnvironment: H400, H410",-,3.24 X 10 e-01,25,-,> 2000,-,-,> 200,-,-,-,-,-,-,45
Fluazinam,Peanuts; Potatoes; Grape vines; Fruit including citrus and apples; Crucifers,79622-59-6,"Health: H317, H318, H332, H361dEnvironment: H400, H410",1018,1.90 X 10 e-02,124,1782,> 4100,> 500,< 0.175,> 200,0.035,0.00069,0.22,0.01,53.6,0.16,4.5
Fludioxonil,"Fruit including apples, soft fruit, cranberries, pear, quince, grapes, strawberry and currants; Vegetables including peas, beans; Ornamentals; Wheats; Oats",131341-86-1,"Health: H361fEnvironment: H400, H410, H412",366,1.15 X 10 e-02,234,> 2000,> 5000,>= 1000,10,> 100,0.23,0.04,0.4,0.005,0.92,0.024,-
Flufenacet,Corn; Soybeans; Winter wheat; Winter barley; Winter rye; Potatoes; Sunflowers; Asparagus; Cotton; Chilli; Tobacco,142459-58-3,"Health: H302, H317, H373Environment: H400, H410",71.4,1.59 X 10 e-01,12.1,1608,598,219,> 10.0,> 100,2.13,0.2,30.9,3.26,0.002,0.00204,29.35
Flumioxazin,Soybeans; Peanuts; Vegetables; Fruit; Ornamentals; Forestry; Aquatic areas,103361-09-7,"Health: H360DEnvironment: H400, H410",Low risk,2.59 X 10 e-02,21.9,> 2250,> 5000,> 491,31,> 200,2.3,0.37,5.9,0.057,0.00035,0.000852,2
