"Zulassungsnr","product","substance","Wirkungsbereich","crop","health","reference.sum.risk.scores","formula","sum.risk.score","HL","TL","FL","PLI"
"007825-64","Schneckenkorn Blau","Metaldehyd","Molluskizid","Ornamentals; Fruit trees and bushes; Various other fruits including avocado, citrus and berries; Vegetables including broccoli, cauliflower, cabbage and articokes",NA,300,1,0,0,0.00864729661624965,0.0012295447906205,0.00987684140687015
"007825-63","Schneckenkorn Limex","Metaldehyd","Molluskizid","Ornamentals; Fruit trees and bushes; Various other fruits including avocado, citrus and berries; Vegetables including broccoli, cauliflower, cabbage and articokes",NA,300,1,0,0,0.00864729661624965,0.0012295447906205,0.00987684140687015
"008016-60","Schneckenkorn Limex Bio","Eisen-III-phosphat","Molluskizid","Food and non-food crops",NA,300,1,0,0,0.00731375475219364,0.000451146560319043,0.00776490131251269
"008016-61","Schneckenkorn LIMEX Fe","Eisen-III-phosphat","Molluskizid","Food and non-food crops",NA,300,1,0,0,0.00731375475219364,0.000451146560319043,0.00776490131251269
"034496-61","SCHNECKENKORN ORGANIC","Eisen-III-phosphat","Molluskizid","Food and non-food crops",NA,300,1,0,0,0.00724061720467171,0.000446635094715852,0.00768725229938756
"024353-00","SCORE","Difenoconazol","Fungizid","Vegetables including carrots, asparagus, brassicas; Potatoes; Cereals including barley, oats, rye, wheat, triticale; Sweetcorn; Beets; Cotton; Canola; Tomato; Pome fruits","EUH066,H304,H319,H351",300,1,105,0.35,0.355467370547561,0.283323555151837,0.988790925699399
"007180-60","SCREEN","Azoxystrobin","Fungizid","Wheat; Fruit including grapes, citrus, strawberries, peaches; Sunflowers; Vegetables including onions, brassicas and curcubits; Potatoes; Cotton; Pecans; Canola; Soybeans; Peanuts; Tomato; Turf; Ornamentals",NA,300,1,0,0,0.0472886782538121,0.313238903820162,0.360527582073974
"00B189-00","Sedim 120","Clethodim","Herbizid","Sugarbeet; Soybeans; Potatoes; Sunflowers; Alfalfa; Vegetables including beans & peas, asparagus, carrots, aubergine; Cotton; Fax; Peanuts; Fruit including melons, peaches; Herbs","H304,H336",300,1,40,0.133333333333333,0.0371713292244255,0.00121346364207104,0.17171812619983
"008200-00","Seedron","Fludioxonil","Fungizid","Fruit including apples, soft fruit, cranberries, pear, quince, grapes, strawberry and currants; Vegetables including peas, beans; Ornamentals; Wheats; Oats",NA,300,1,0,0,0.0109059387136502,0.0926517857061264,0.103557724419777
"024366-00","Select 240 EC","Clethodim","Herbizid","Sugarbeet; Soybeans; Potatoes; Sunflowers; Alfalfa; Vegetables including beans & peas, asparagus, carrots, aubergine; Cotton; Fax; Peanuts; Fruit including melons, peaches; Herbs","H304,H319,H336",300,1,55,0.183333333333333,0.0743426584488509,0.00242692728414207,0.260102919066326
"00A689-00","SemiosNET-Codling Moth","(E,E)-8,10-Dodecadien-1-ol","Pheromon",NA,"H315,H317,H319",300,1,45,0.15,0,0,0.15
"007971-00","Sempra","Diflufenican","Herbizid","Clover-based pastures; Field peas; Lentils; Lupins; Winter cereals; Soybeans; Corn",NA,300,1,0,0,0.255445751232178,0.682086900770344,0.937532652002522
"008535-00","SENIOR","Cloquintocet","Herbizid",NA,NA,300,1,0,0,0,0,0
"00A047-00","Sentrallas LQM","Thifensulfuron","Herbizid","Cereals including wheat, barley, tritical, rye, oats; Corn/maize; Soybean","H317",300,1,20,0.0666666666666667,0.00153493583827563,0.0488502832885395,0.117051885793482
"008004-00","Sercadis","Fluxapyroxad","Fungizid","Cereals; Legumes; Oilseeds including OSR, sunflowers; Top and stone fruit; Tuber and root vegetables; Peanuts; Tomato","H351",300,1,70,0.233333333333333,0.0289756375249104,0.494197549423224,0.756506520281468
